section,descriçao,Tipo,valor,quartos,banheiros,metros_quadrados,vagas_carro,cidade,bairro,data de postagem
23,Aluga - Otima Casa - Melhor Preço - Barroso - Green Residencial,casa,380,,,,,Fortaleza, Barroso,24 de ago 22:29
24,Vendo,casa,15.000,,,,,Fortaleza, Paupina,24 de ago 22:26
25,"Casa com 4 dormitórios à venda, 610 m² por R$ 5.900.000,00 - Porto das Dunas - Eusébio/CE",casa,5.900.000,4,4,610,,Eusébio,,24 de ago 22:24
26,Alphaville Fortaleza 470m² Duplex Alto Padrão,casa,5.300.000,5,5,470,,Eusébio,,24 de ago 22:24
27,Casa duplex lagoa redonda 230 mts2,casa,515.000,5,5,230,,Fortaleza, Lagoa Redonda,24 de ago 22:16
28,"Casa à venda, 93 m² por R$ 390.000,00 - Centro - Eusébio/CE",casa,390.000,3,2,93,,Eusébio,,24 de ago 22:15
29,"Casa à venda, 150 m² por R$ 640.000,00 - Sapiranga - Fortaleza/CE",casa,640.000,4,4,150,,Fortaleza, Sapiranga-Coité,24 de ago 22:15
30,"Casa à venda, 277 m² por R$ 1.300.000,00 - Sapiranga - Fortaleza/CE",casa,1.300.000,3,4,278,,Fortaleza, Sapiranga-Coité,24 de ago 22:15
31,"Casa à venda, 80 m² por R$ 350.000,00 - Tabapuá - Caucaia/CE",casa,350.000,3,2,80,,Caucaia, Tabapuá Brasília,24 de ago 22:15
32,"Casa à venda, 90 m² por R$ 399.000,00 - Maraponga - Fortaleza/CE",casa,399.000,3,2,90,,Fortaleza, Mondubim,24 de ago 22:15
33,"Casa à venda, 180 m² por R$ 570.000,00 - Maraponga - Fortaleza/CE",casa,570.000,3,2,180,,Fortaleza, Mondubim,24 de ago 22:15
34,Casa com 4 quartos no bairro Centro - Fortaleza/CE,casa,450.000,4,3,150,,Fortaleza, Centro,24 de ago 22:10
35,Mansão exclusiva com ampla área verde em um lote diferenciado na Cidade Alpha Ceará,casa,4.590.005,5,5,520,,Eusébio,,24 de ago 21:53
36,Casa Plana à venda 112 m² de area contruida próx à Estrada do fio - Eusébio - CE,casa,419.000,3,3,113,,Eusébio, Coaçu,24 de ago 21:42
37,Excelente Casa Duplex com piscina na Estrada do Fio -Eusébio- ce,casa,389.900,3,3,97,,Eusébio, Encantada,24 de ago 21:40
38,Residencial Villa Capri Urucumema,casa,619.000,4,4,140,,Eusébio, Urucunema,24 de ago 21:40
39,Casas Planas à venda em Urucunema pertinho de Centro do Eusébio.,casa,439.000,3,4,122,,Eusébio, Urucunema,24 de ago 21:40
40,Casa à venda em Rua Privativa no bairro Timbu. Eusébio-Ce,casa,759.900,4,4,144,,Eusébio,,24 de ago 21:39
41,Belíssima casa à venda pertinho do shopping do Eusébio!!,casa,739.000,4,4,139,,Eusébio,,24 de ago 21:39
42,Casa Plana à venda com 101 m² com 3 suítes em Coité - Eusébio - CE,casa,489.700,3,3,101,1,Eusébio, Encantada,24 de ago 21:39
43,Vendo Casas Planas de Alto Padrão na Sapiranga- Fortaleza,casa,470.000,3,3,120,,Fortaleza, Edson Queiroz,24 de ago 21:38
44,Casas planas no Edson Queiroz,casa,450.000,3,3,107,,Fortaleza, Edson Queiroz,24 de ago 21:38
45,Casa a venda na Messejana,casa,430.000,3,3,138,,Fortaleza, São Bento,24 de ago 21:38
46,Casa em condomínio à venda em excelente localização no Aquiraz.,casa,270.000,2,2,67,,Aquiraz,,24 de ago 21:37
47,Casa em condomínio à venda no Eusébio.,casa,432.000,3,2,93,,Eusébio,,24 de ago 21:37
48,Casa em condominio no Centro do Eusébio.,casa,410.000,3,3,100,,Eusébio,,24 de ago 21:36
49,Casas duplex com 4 suítes sendo 2 com varandas e 2 vagas.,casa,699.900,4,4,132,,Eusébio, Pires Façanha,24 de ago 21:36
50,Casa plana a venda no Bairro Guaribas/Eusebio,casa,450.000,3,3,110,,Eusébio,,24 de ago 21:35
1,"Oportunidade no Maracanaú, Dúplex ao seu Alcance,mais informações",casa,175.000,2,3,80,,Maracanaú, Jereissati I,24 de ago 21:33
2,Vende-se uma casa na Rua Queiroz de Lima. Parque Santana.,casa,75.000,3,1,,,Fortaleza, Mondubim,24 de ago 21:29
3,"EXCELENTE CASA NO CONDOMÍNIO VILLAGE DAS PALMEIRAS, CAUCAIA - CE",casa,300.000,3,2,262,,Caucaia, Mestre Antônio,24 de ago 21:28
4,casa nova - Itaitinga,casa,220.000,2,2,80,,Fortaleza, Jangurussu,24 de ago 21:22
5,"Grande Investimento no Eusébio,Casa de Alto Padrão ao seu alcance,mais informações",casa,650.000,4,4,141,,Eusébio,,24 de ago 21:22
6,"Casa com Móveis fixos com 04 suítes , energia solar e poço profundo em Cidade Alpha - Eusé",casa,1.690.000,4,2,250,,Eusébio,,24 de ago 20:28
7,Casa nova plana no Cj Esperança com 3 quartos,casa,430.022,3,3,110,,Eusébio,,24 de ago 20:24
8,Casa em condominio em uma otima localização no Eusébio,casa,811.000,3,3,116,,Eusébio,,24 de ago 20:24
9,"8 quartos, 4 suítes, 10 vagas, no melhor da Lagoa Redonda!",casa,699.000,5,5,1100,,Fortaleza, Lagoa Redonda,24 de ago 20:24
10,Casa para Venda,casa,100.000,3,2,,,São Gonçalo do Amarante,,24 de ago 20:15
11,linda casa duplex com 3 suites mobiliada na região da sapiranga com preço incrivel,casa,399.000,3,4,135,,Fortaleza, Sapiranga-Coité,24 de ago 20:09
12,Duplex Alto Padrão em Excelente Localização - Entre a Maestro Lisboa e CE -010,casa,669.000,4,4,158,,Eusébio,,24 de ago 19:38
13,Casa plana em local privilegiado Parquelandia,casa,240.000,2,2,,,Fortaleza, Monte Castelo,24 de ago 19:14
14,Casa plana no Ancuri com 3 quartos churrasqueira e chuveirão,casa,198.003,3,2,,,Eusébio,,24 de ago 19:02
15,Casa duplex fino acabamento com 4 suites na Sapiranga,casa,695.004,4,4,177,,Eusébio,,24 de ago 19:02
16,Duplex Paupina,casa,50.000,2,2,,,Fortaleza, Centro,24 de ago 18:59
17,Casa plana no Terras 4 - Cidade Alpha,casa,1.080.000,3,3,142,,Eusébio, Cidade Alpha,24 de ago 18:57
18,"casa 3 dorm. 3 vagas de garagem Campo dos Velhos, Sobral - CE",casa,400.000,3,3,200,,Sobral, Campo dos Velhos,24 de ago 18:25
19,CASA NO PARQUE SOLEDADE,casa,55,2,1,70,1,Fortaleza, Padre Andrade,24 de ago 18:18
20,CASA EM PARQUE SOLEDADE,casa,55,2,1,70,1,Caucaia, Parque Soledade,24 de ago 17:58
21,Vendas,casa,270.000,4,2,,,Fortaleza, Mondubim,24 de ago 17:49
22,Sobrado para venda possui 345 metros quadrados com 4 quartos em Cidade Alpha - Eusébio - C,casa,1.590.000,4,4,345,,Eusébio, Cidade Alpha,24 de ago 17:33
23,Sobrado para venda tem 337 metros quadrados com 4 quartos em Cidade Alpha - Eusébio - CE,casa,2.450.000,4,5,337,,Eusébio, Cidade Alpha,24 de ago 17:33
24,Casa de condomínio sobrado para venda com 308 metros quadrados com 4 quartos,casa,1.990.000,4,5,308,,Eusébio, Cidade Alpha,24 de ago 17:33
25,Casa duplex,casa,400.000,3,2,1,1,Fortaleza, Henrique Jorge,24 de ago 17:31
26,casa grande,casa,185.000,3,2,,,Fortaleza, Barra do Ceará,24 de ago 17:29
27,"Casa no Alphaville Eusébio composta por 4 suítes, varanda gourmet com churrasqueira.",casa,2.300.000,4,4,387,,Eusébio, Centro,24 de ago 17:13
28,Casa no Porto das dunas com 3 quartos,casa,430.000,3,2,495,,Aquiraz,,24 de ago 17:13
29,2 casas,casa,120.000,2,1,,,Pacatuba, Senador Carlos Jereissati,24 de ago 17:10
30,Casa duplex no Cond. Jardins de Murano no Eusébio com 3 suítes,casa,828.000,3,4,158,,Eusébio,,24 de ago 17:03
31,Casa Duplex no Porto das dunas !!,casa,1.200.000,4,5,320,,Aquiraz,,24 de ago 17:02
32,Casa em condomínio fechado alto padrão no Eusébio com área de lazer completa!,casa,1.890.000,3,3,450,,Eusébio,,24 de ago 16:58
33,Ampla casa em condomínio fechado com 5 quartos - Porto das Dunas,casa,670.000,5,5,236,,Aquiraz,,24 de ago 16:58
34,"Excelente casa duplex com 5 quartos, 4 vagas de garagem - Porto das Dunas",casa,670.000,5,5,236,,Aquiraz,,24 de ago 16:58
35,Casa Eusébio/Messejana R$292.000 ótima localização 3 Quartos,casa,292.000,3,2,78,,Fortaleza, São Bento,24 de ago 16:51
36,Pra você que gosta de conforto e lazer essa casa é pra você,casa,560.004,3,3,,,Eusébio,,24 de ago 16:29
37,Casa plana em rua privativa prox ao Posto Lua no Eusébio,casa,589.000,3,4,122,,Eusébio,,24 de ago 16:29
38,Duplex Mondubim,casa,280.000,3,2,178,,Fortaleza, Dom Lustosa,24 de ago 16:24
39,Casa a Venda,casa,190.000,,,,,Fortaleza, Cais do Porto,24 de ago 16:22
40,"Casa à venda, um quartinho, ótimo pra quem quer sair do aluguel.",casa,6.000,,,,,Fortaleza, Granja Lisboa,24 de ago 16:16
41,Casa em estado De Nova!,casa,510.000,3,2,100,,Fortaleza, Mondubim,24 de ago 16:15
42,Casa Monte Castelo Ótima Oportunidade,casa,350.000,3,2,21625,,Fortaleza, Monte Castelo,24 de ago 16:08
43,"Casa dúplex linda. Vendo, troco, recebo carro. Casa bem abaixo do preço.",casa,150.000,4,2,154,,São Gonçalo do Amarante,,24 de ago 15:57
44,Casa para venda,casa,85.000,2,1,,,Fortaleza, Sapiranga-Coité,24 de ago 15:29
45,Casa neoclassica no Residencial Alphaville Ceará com 4 suites + dependência,casa,2.399.932,4,4,320,,Eusébio,,24 de ago 15:04
46,"Casas planas lindas com churrasqueira e chuveirão, novas no Ancuri",casa,198.000,2,2,89,,Fortaleza, Pedras,24 de ago 15:02
47,Apartamento com documentação inclusa no Barrocão,casa,165.065,2,2,55,1,Fortaleza, Pedras,24 de ago 15:02
48,Casa Duplex com entradas separas para 02 alugueis no conjunto ceará,casa,140.000,2,1,75,,Fortaleza, Conjunto Ceará I,24 de ago 14:48
49,Ampla casa no Alphaville Fortaleza com 3 suítes e piscina privativa!,casa,3.200.000,3,4,360,,Eusébio,,24 de ago 14:48
50,"Casa dos Sonhos - Duplex, Mobiliada, Alto Padrão",casa,1.390.000,5,5,240,,Caucaia, Icaraí,24 de ago 14:43
1,Casa duplex na Lagoa Redonda com 3 quartos e lazer completo!,casa,349.000,3,3,84,,Fortaleza, Lagoa Redonda,24 de ago 14:37
2,Ampla casa em condomínio fechado com 5 quartos - Porto das Dunas,casa,670.000,5,5,236,,Aquiraz,,24 de ago 14:37
3,Vendo casa de praia,casa,500.000,5,5,900,,Fortaleza, Meireles,24 de ago 14:33
4,Casa 3 Quartos em Fortaleza: Grande Oportunidade!,casa,260.000,3,3,412,,Fortaleza, Granja Lisboa,24 de ago 14:29
5,Duplex de luxo fino acabamento 4 quartos 100% nascente,casa,525.000,4,3,135,,Maracanaú,,24 de ago 14:24
6,"Grande Investimento na Parquelândia,Casa de Alto padrão,mais informações",casa,750.000,4,4,250,,Fortaleza, Parquelândia,24 de ago 13:52
7,Guaramiranga,casa,250.000,2,2,10250,,Fortaleza, Montese,24 de ago 13:49
8,Mudança de endereço,casa,350,3,3,,,Fortaleza, Presidente Kennedy,24 de ago 13:48
9,Três casas no polo de Lazer do Álvaro Weyne,casa,360.000,3,3,145,1,Fortaleza, Floresta,24 de ago 13:38
10,casa a venda no quintino cunha 3 quartos um com suite,casa,1,3,2,162,,Fortaleza, Quintino Cunha,24 de ago 13:38
11,Lindos Bangalôs privativos na praia de Icaraí de Amontada com 3.000m² de Terreno.,casa,1.300.000,4,5,3000,,Amontada,,24 de ago 13:25
12,Alphaville Eusébio Casa Nova Exclusiva Alto Padrão Mobiliada e Decorada,casa,5.500.000,4,5,360,,Eusébio, Pires Façanha,24 de ago 13:07
13,Bela casa a venda com 3 quartos e 3 vagas de garagem,casa,274.000,3,2,75,,Eusébio,,24 de ago 13:05
14,"Sensacional essa casa com acabamento exuberante, fachada moderna e encantadora",casa,1.720.000,5,5,253,,Eusébio,,24 de ago 13:05
15,Casa 3 quartos no Ancuri - Itaitinga,casa,195.000,3,2,77,1,Itaitinga,,24 de ago 13:03
16,"Casa com 3 quartos ,sendo 2 suítes no Eusébio",casa,350.000,3,2,120,,Eusébio, Coité,24 de ago 12:59
17,"Belíssima casa mobiliada, nascente total com 4 suítes no Porto das Dunas.",casa,900.000,4,5,260,,Aquiraz,,24 de ago 12:58
18,"Casa de Condomínio com 3 Quartos e 3 banheiros à Venda, 104.61 m²",casa,800.000,3,3,104,,Eusébio, Guaribas,24 de ago 12:54
